INFO buildroot.py:667:  Mock Version: 6.1
DEBUG util.py:556:  Executing command: ['/bin/mount', '-n', '-o', 'remount,private,rbind', '--target', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/var/lib/mock/f43-build-59088491-6571000/root'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000/root/installation-homedir
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000/root/installation-homedir
DEBUG package_manager.py:295:  ['/usr/bin/dnf5', '--installroot', '/var/lib/mock/f43-build-59088491-6571000/root/', 'install', '@build', '--setopt=deltarpm=False', '--setopt=allow_vendor_change=yes', '--allowerasing']
DEBUG util.py:634:  child environment: None
DEBUG util.py:551:  Using nspawn with args ['--capability=cap_ipc_lock', '--bind=/tmp/mock-resolv.vms6jhu_:/etc/resolv.conf']
DEBUG util.py:556:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', 'da617ed925d3494d8bef04dc7187710e', '-D', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root', '-a', '--capability=cap_ipc_lock', '--bind=/tmp/mock-resolv.vms6jhu_:/etc/resolv.conf', '--console=pipe', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/var/lib/mock/f43-build-59088491-6571000/root/installation-homedir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=C.UTF-8', '--setenv=LC_MESSAGES=C.UTF-8', '--resolv-conf=off', '/usr/bin/dnf5', '--installroot', '/var/lib/mock/f43-build-59088491-6571000/root/', 'install', '@build', '--setopt=deltarpm=False', '--setopt=allow_vendor_change=yes', '--allowerasing', '--setopt=tsflags=nocontexts'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/var/lib/mock/f43-build-59088491-6571000/root/installation-homedir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8', 'LC_MESSAGES': 'C.UTF-8', 'SYSTEMD_NSPAWN_TMPFS_TMP': '0', 'SYSTEMD_SECCOMP': '0'} and shell False
DEBUG util.py:459:  Updating and loading repositories:
DEBUG util.py:459:   build                                  100% |  67.1 MiB/s |  14.6 MiB |  00m00s
DEBUG util.py:459:  Repositories loaded.
DEBUG util.py:461:  Package                            Arch   Version                    Repository      Size
DEBUG util.py:461:  Installing group/module packages:
DEBUG util.py:461:   bash                              x86_64 5.2.37-3.fc43              build        8.2 MiB
DEBUG util.py:461:   bzip2                             x86_64 1.0.8-20.fc42              build       99.3 KiB
DEBUG util.py:461:   coreutils                         x86_64 9.7-1.fc43                 build        5.4 MiB
DEBUG util.py:461:   cpio                              x86_64 2.15-2.fc41                build        1.1 MiB
DEBUG util.py:461:   diffutils                         x86_64 3.12-1.fc43                build        1.6 MiB
DEBUG util.py:461:   fedora-release                    noarch 43-0.15                    build        0.0   B
DEBUG util.py:461:   findutils                         x86_64 1:4.10.0-5.fc42            build        1.9 MiB
DEBUG util.py:461:   gawk                              x86_64 5.3.2-1.fc43               build        1.8 MiB
DEBUG util.py:461:   glibc-minimal-langpack            x86_64 2.41.9000-10.fc43          build        0.0   B
DEBUG util.py:461:   grep                              x86_64 3.12-1.fc43                build        1.0 MiB
DEBUG util.py:461:   gzip                              x86_64 1.13-3.fc42                build      392.9 KiB
DEBUG util.py:461:   info                              x86_64 7.2-3.fc42                 build      357.9 KiB
DEBUG util.py:461:   patch                             x86_64 2.8-1.fc43                 build      226.8 KiB
DEBUG util.py:461:   redhat-rpm-config                 noarch 343-4.fc43                 build      185.6 KiB
DEBUG util.py:461:   rpm-build                         x86_64 5.99.90-3.fc43             build      269.5 KiB
DEBUG util.py:461:   sed                               x86_64 4.9-4.fc42                 build      857.3 KiB
DEBUG util.py:461:   shadow-utils                      x86_64 2:4.17.4-1.fc43            build        4.0 MiB
DEBUG util.py:461:   tar                               x86_64 2:1.35-5.fc42              build        3.0 MiB
DEBUG util.py:461:   unzip                             x86_64 6.0-66.fc42                build      390.3 KiB
DEBUG util.py:461:   util-linux                        x86_64 2.40.4-7.fc43              build        3.4 MiB
DEBUG util.py:461:   which                             x86_64 2.23-1.fc42                build       83.4 KiB
DEBUG util.py:461:   xz                                x86_64 1:5.8.1-1.fc43             build        1.3 MiB
DEBUG util.py:461:  Installing dependencies:
DEBUG util.py:461:   add-determinism                   x86_64 0.6.0-1.fc43               build        2.5 MiB
DEBUG util.py:461:   alternatives                      x86_64 1.32-1.fc43                build       62.2 KiB
DEBUG util.py:461:   ansible-srpm-macros               noarch 1-17.1.fc42                build       35.7 KiB
DEBUG util.py:461:   audit-libs                        x86_64 4.0.3-2.fc42               build      351.3 KiB
DEBUG util.py:461:   binutils                          x86_64 2.44-3.fc43                build       25.9 MiB
DEBUG util.py:461:   build-reproducibility-srpm-macros noarch 0.6.0-1.fc43               build      735.0   B
DEBUG util.py:461:   bzip2-libs                        x86_64 1.0.8-20.fc42              build       84.6 KiB
DEBUG util.py:461:   ca-certificates                   noarch 2024.2.69_v8.0.401-5.fc42  build        2.6 MiB
DEBUG util.py:461:   coreutils-common                  x86_64 9.7-1.fc43                 build       11.3 MiB
DEBUG util.py:461:   crypto-policies                   noarch 20250402-2.git86c0178.fc43 build      141.5 KiB
DEBUG util.py:461:   curl                              x86_64 8.13.0-1.fc43              build      461.0 KiB
DEBUG util.py:461:   cyrus-sasl-lib                    x86_64 2.1.28-30.fc42             build        2.3 MiB
DEBUG util.py:461:   debugedit                         x86_64 5.1-6.fc43                 build      192.7 KiB
DEBUG util.py:461:   dwz                               x86_64 0.15-9.fc42                build      291.0 KiB
DEBUG util.py:461:   ed                                x86_64 1.21-2.fc42                build      146.5 KiB
DEBUG util.py:461:   efi-srpm-macros                   noarch 6-3.fc43                   build       40.1 KiB
DEBUG util.py:461:   elfutils                          x86_64 0.192-8.fc42               build        2.7 MiB
DEBUG util.py:461:   elfutils-debuginfod-client        x86_64 0.192-8.fc42               build       83.9 KiB
DEBUG util.py:461:   elfutils-default-yama-scope       noarch 0.192-8.fc42               build        1.8 KiB
DEBUG util.py:461:   elfutils-libelf                   x86_64 0.192-8.fc42               build        1.2 MiB
DEBUG util.py:461:   elfutils-libs                     x86_64 0.192-8.fc42               build      675.0 KiB
DEBUG util.py:461:   fedora-gpg-keys                   noarch 43-0.1                     build      128.2 KiB
DEBUG util.py:461:   fedora-release-common             noarch 43-0.15                    build       20.4 KiB
DEBUG util.py:461:   fedora-release-identity-basic     noarch 43-0.15                    build      664.0   B
DEBUG util.py:461:   fedora-repos                      noarch 43-0.1                     build        4.9 KiB
DEBUG util.py:461:   fedora-repos-rawhide              noarch 43-0.1                     build        2.2 KiB
DEBUG util.py:461:   file                              x86_64 5.46-1.fc42                build      100.2 KiB
DEBUG util.py:461:   file-libs                         x86_64 5.46-1.fc42                build       11.9 MiB
DEBUG util.py:461:   filesystem                        x86_64 3.18-40.fc43               build      112.0   B
DEBUG util.py:461:   filesystem-srpm-macros            noarch 3.18-40.fc43               build       38.2 KiB
DEBUG util.py:461:   fonts-srpm-macros                 noarch 1:2.0.5-21.fc42            build       55.8 KiB
DEBUG util.py:461:   forge-srpm-macros                 noarch 0.4.0-2.fc42               build       38.9 KiB
DEBUG util.py:461:   fpc-srpm-macros                   noarch 1.3-14.fc42                build      144.0   B
DEBUG util.py:461:   gdb-minimal                       x86_64 16.2-3.fc43                build       13.3 MiB
DEBUG util.py:461:   gdbm-libs                         x86_64 1:1.23-9.fc42              build      129.9 KiB
DEBUG util.py:461:   ghc-srpm-macros                   noarch 1.9.2-2.fc42               build      779.0   B
DEBUG util.py:461:   glibc                             x86_64 2.41.9000-10.fc43          build        6.7 MiB
DEBUG util.py:461:   glibc-common                      x86_64 2.41.9000-10.fc43          build        1.0 MiB
DEBUG util.py:461:   glibc-gconv-extra                 x86_64 2.41.9000-10.fc43          build        7.2 MiB
DEBUG util.py:461:   gmp                               x86_64 1:6.3.0-3.fc43             build      819.2 KiB
DEBUG util.py:461:   gnat-srpm-macros                  noarch 6-7.fc42                   build        1.0 KiB
DEBUG util.py:461:   gnupg2                            x86_64 2.4.7-3.fc43               build        9.8 MiB
DEBUG util.py:461:   gnutls                            x86_64 3.8.9-5.fc43               build        3.6 MiB
DEBUG util.py:461:   go-srpm-macros                    noarch 3.6.0-7.fc43               build       60.8 KiB
DEBUG util.py:461:   ima-evm-utils-libs                x86_64 1.6.2-5.fc43               build       60.7 KiB
DEBUG util.py:461:   jansson                           x86_64 2.14-2.fc42                build       93.1 KiB
DEBUG util.py:461:   json-c                            x86_64 0.18-2.fc42                build       86.7 KiB
DEBUG util.py:461:   kernel-srpm-macros                noarch 1.0-25.fc42                build        1.9 KiB
DEBUG util.py:461:   keyutils-libs                     x86_64 1.6.3-5.fc42               build       58.3 KiB
DEBUG util.py:461:   krb5-libs                         x86_64 1.21.3-5.fc42              build        2.3 MiB
DEBUG util.py:461:   libacl                            x86_64 2.3.2-3.fc42               build       38.3 KiB
DEBUG util.py:461:   libarchive                        x86_64 3.7.7-4.fc43               build      930.6 KiB
DEBUG util.py:461:   libassuan                         x86_64 2.5.7-3.fc42               build      167.8 KiB
DEBUG util.py:461:   libattr                           x86_64 2.5.2-5.fc42               build       27.1 KiB
DEBUG util.py:461:   libblkid                          x86_64 2.40.4-7.fc43              build      262.4 KiB
DEBUG util.py:461:   libbrotli                         x86_64 1.1.0-6.fc42               build      841.3 KiB
DEBUG util.py:461:   libcap                            x86_64 2.76-1.fc43                build      209.2 KiB
DEBUG util.py:461:   libcap-ng                         x86_64 0.8.5-4.fc42               build       72.9 KiB
DEBUG util.py:461:   libcom_err                        x86_64 1.47.2-3.fc42              build       67.1 KiB
DEBUG util.py:461:   libcurl                           x86_64 8.13.0-1.fc43              build      874.5 KiB
DEBUG util.py:461:   libeconf                          x86_64 0.7.6-1.fc43               build       64.6 KiB
DEBUG util.py:461:   libevent                          x86_64 2.1.12-15.fc42             build      903.1 KiB
DEBUG util.py:461:   libfdisk                          x86_64 2.40.4-7.fc43              build      372.3 KiB
DEBUG util.py:461:   libffi                            x86_64 3.4.7-4.fc43               build       82.6 KiB
DEBUG util.py:461:   libfsverity                       x86_64 1.6-2.fc42                 build       32.5 KiB
DEBUG util.py:461:   libgcc                            x86_64 15.0.1-0.14.fc43           build      266.6 KiB
DEBUG util.py:461:   libgcrypt                         x86_64 1.11.0-5.fc42              build        1.6 MiB
DEBUG util.py:461:   libgomp                           x86_64 15.0.1-0.14.fc43           build      538.5 KiB
DEBUG util.py:461:   libgpg-error                      x86_64 1.55-1.fc43                build      915.3 KiB
DEBUG util.py:461:   libidn2                           x86_64 2.3.8-1.fc43               build      552.5 KiB
DEBUG util.py:461:   libksba                           x86_64 1.6.7-3.fc42               build      402.5 KiB
DEBUG util.py:461:   libmount                          x86_64 2.40.4-7.fc43              build      356.2 KiB
DEBUG util.py:461:   libnghttp2                        x86_64 1.65.0-1.fc43              build      162.2 KiB
DEBUG util.py:461:   libpkgconf                        x86_64 2.3.0-2.fc42               build       78.1 KiB
DEBUG util.py:461:   libpsl                            x86_64 0.21.5-5.fc42              build       76.4 KiB
DEBUG util.py:461:   libselinux                        x86_64 3.8-1.fc42                 build      193.1 KiB
DEBUG util.py:461:   libsemanage                       x86_64 3.8-1.fc42                 build      308.4 KiB
DEBUG util.py:461:   libsepol                          x86_64 3.8-1.fc42                 build      826.0 KiB
DEBUG util.py:461:   libsmartcols                      x86_64 2.40.4-7.fc43              build      180.4 KiB
DEBUG util.py:461:   libssh                            x86_64 0.11.1-4.fc42              build      565.5 KiB
DEBUG util.py:461:   libssh-config                     noarch 0.11.1-4.fc42              build      277.0   B
DEBUG util.py:461:   libstdc++                         x86_64 15.0.1-0.14.fc43           build        2.8 MiB
DEBUG util.py:461:   libtasn1                          x86_64 4.20.0-1.fc43              build      176.3 KiB
DEBUG util.py:461:   libtool-ltdl                      x86_64 2.5.4-4.fc42               build       70.1 KiB
DEBUG util.py:461:   libunistring                      x86_64 1.1-9.fc42                 build        1.7 MiB
DEBUG util.py:461:   libusb1                           x86_64 1.0.28-2.fc43              build      171.0 KiB
DEBUG util.py:461:   libuuid                           x86_64 2.40.4-7.fc43              build       37.3 KiB
DEBUG util.py:461:   libverto                          x86_64 0.3.2-10.fc42              build       25.4 KiB
DEBUG util.py:461:   libxcrypt                         x86_64 4.4.38-7.fc43              build      284.5 KiB
DEBUG util.py:461:   libxml2                           x86_64 2.12.10-1.fc43             build        1.7 MiB
DEBUG util.py:461:   libzstd                           x86_64 1.5.7-1.fc43               build      807.8 KiB
DEBUG util.py:461:   lua-libs                          x86_64 5.4.7-3.fc43               build      276.9 KiB
DEBUG util.py:461:   lua-srpm-macros                   noarch 1-15.fc42                  build        1.3 KiB
DEBUG util.py:461:   lz4-libs                          x86_64 1.10.0-2.fc42              build      157.4 KiB
DEBUG util.py:461:   mpfr                              x86_64 4.2.2-1.fc43               build      828.8 KiB
DEBUG util.py:461:   ncurses-base                      noarch 6.5-5.20250125.fc42        build      326.8 KiB
DEBUG util.py:461:   ncurses-libs                      x86_64 6.5-5.20250125.fc42        build      946.3 KiB
DEBUG util.py:461:   nettle                            x86_64 3.10.1-1.fc43              build      790.5 KiB
DEBUG util.py:461:   npth                              x86_64 1.8-2.fc42                 build       49.6 KiB
DEBUG util.py:461:   ocaml-srpm-macros                 noarch 10-4.fc42                  build        1.9 KiB
DEBUG util.py:461:   openblas-srpm-macros              noarch 2-19.fc42                  build      112.0   B
DEBUG util.py:461:   openldap                          x86_64 2.6.9-5.fc43               build      655.1 KiB
DEBUG util.py:461:   openssl-libs                      x86_64 1:3.5.0-3.fc43             build        8.9 MiB
DEBUG util.py:461:   p11-kit                           x86_64 0.25.5-5.fc42              build        2.2 MiB
DEBUG util.py:461:   p11-kit-trust                     x86_64 0.25.5-5.fc42              build      395.5 KiB
DEBUG util.py:461:   package-notes-srpm-macros         noarch 0.5-13.fc42                build        1.6 KiB
DEBUG util.py:461:   pam-libs                          x86_64 1.7.0-4.fc42               build      126.7 KiB
DEBUG util.py:461:   pcre2                             x86_64 10.45-1.fc43               build      697.7 KiB
DEBUG util.py:461:   pcre2-syntax                      noarch 10.45-1.fc43               build      273.9 KiB
DEBUG util.py:461:   perl-srpm-macros                  noarch 1-57.fc42                  build      861.0   B
DEBUG util.py:461:   pkgconf                           x86_64 2.3.0-2.fc42               build       88.5 KiB
DEBUG util.py:461:   pkgconf-m4                        noarch 2.3.0-2.fc42               build       14.4 KiB
DEBUG util.py:461:   pkgconf-pkg-config                x86_64 2.3.0-2.fc42               build      989.0   B
DEBUG util.py:461:   popt                              x86_64 1.19-8.fc42                build      132.8 KiB
DEBUG util.py:461:   publicsuffix-list-dafsa           noarch 20250116-1.fc42            build       68.5 KiB
DEBUG util.py:461:   pyproject-srpm-macros             noarch 1.18.1-1.fc43              build        1.9 KiB
DEBUG util.py:461:   python-srpm-macros                noarch 3.13-5.fc43                build       51.7 KiB
DEBUG util.py:461:   qt5-srpm-macros                   noarch 5.15.16-1.fc43             build      500.0   B
DEBUG util.py:461:   qt6-srpm-macros                   noarch 6.9.0-2.fc43               build      464.0   B
DEBUG util.py:461:   readline                          x86_64 8.2-13.fc43                build      485.0 KiB
DEBUG util.py:461:   rpm                               x86_64 5.99.90-3.fc43             build        3.1 MiB
DEBUG util.py:461:   rpm-build-libs                    x86_64 5.99.90-3.fc43             build      268.4 KiB
DEBUG util.py:461:   rpm-libs                          x86_64 5.99.90-3.fc43             build      921.6 KiB
DEBUG util.py:461:   rpm-sequoia                       x86_64 1.8.0-1.fc43               build        2.5 MiB
DEBUG util.py:461:   rpm-sign-libs                     x86_64 5.99.90-3.fc43             build       39.7 KiB
DEBUG util.py:461:   rust-srpm-macros                  noarch 26.3-4.fc42                build        4.8 KiB
